F1_Score,Precision,Recall,Train_acc,Train_loss,Val_F1_Score,Val_Precision,Val_Recall,Val_loss,Valid_acc,epoch,step
,,,,,0.9612429141998291,0.9797795414924622,0.9433968663215637,0.6798790097236633,0.94703209400177,0,9
0.8203492164611816,0.9501055479049683,0.7428029179573059,0.7920840382575989,0.8152868747711182,,,,,,0,9
,,,,,0.9646605849266052,0.9845436811447144,0.9455671906471252,0.6336677670478821,0.9517635703086853,1,19
0.9579747319221497,0.975389838218689,0.941228985786438,0.9426329731941223,0.6787306070327759,,,,,,1,19
,,,,,0.9801686406135559,0.9912456274032593,0.9693383574485779,0.588963508605957,0.972688615322113,2,29
0.9695495963096619,0.9834000468254089,0.9560979008674622,0.9583132863044739,0.6324403882026672,,,,,,2,29
,,,,,0.9862679243087769,0.9963052272796631,0.9764328598976135,0.5539209842681885,0.9810686111450195,3,39
0.981227457523346,0.990837574005127,0.9718078970909119,0.9741503596305847,0.5905889272689819,,,,,,3,39
,,,,,0.9936251640319824,0.9971318244934082,0.9901437759399414,0.5255225300788879,0.9911537170410156,4,49
0.9889842867851257,0.9939820766448975,0.9840458035469055,0.984856903553009,0.5589473247528076,,,,,,4,49
,,,,,0.995500385761261,0.997671902179718,0.9933390617370605,0.5061438679695129,0.993747353553772,5,59
0.9928250908851624,0.9959138035774231,0.9897564649581909,0.9900636076927185,0.5322851538658142,,,,,,5,59
,,,,,0.9961374402046204,0.9978639483451843,0.9944175481796265,0.4924316108226776,0.994629979133606,6,69
0.994268536567688,0.9966141581535339,0.9919346570968628,0.9920819401741028,0.5152235627174377,,,,,,6,69
,,,,,0.9963512420654297,0.9980012774467468,0.9947072267532349,0.4825800061225891,0.9949265122413635,7,79
0.9953082799911499,0.9972897171974182,0.9933357238769531,0.9934947490692139,0.5014277100563049,,,,,,7,79
,,,,,0.9967390298843384,0.9980573654174805,0.9954246878623962,0.4748716354370117,0.9954640865325928,8,89
0.9957852959632874,0.9971681833267212,0.9944066405296326,0.9941814541816711,0.49248990416526794,,,,,,8,89
,,,,,0.99698805809021,0.9981038570404053,0.995875358581543,0.4689551293849945,0.9958096742630005,9,99
0.9963048100471497,0.9974342584609985,0.9951785802841187,0.9948897957801819,0.4840899109840393,,,,,,9,99
,,,,,0.9966831803321838,0.9982835054397583,0.9950886368751526,0.4647945761680603,0.9953873753547668,10,109
0.9964194893836975,0.9973071813583374,0.995534360408783,0.9950441718101501,0.478167325258255,,,,,,10,109
,,,,,0.9968705773353577,0.9984709024429321,0.9952767491340637,0.4610929787158966,0.9956485033035278,11,119
0.9964601397514343,0.9974373579025269,0.9954855442047119,0.9951053261756897,0.4733819365501404,,,,,,11,119
,,,,,0.9973629713058472,0.9984098076820374,0.9963192939758301,0.45768028497695923,0.9963312149047852,12,129
0.9968044757843018,0.997517466545105,0.9960936307907104,0.9955847263336182,0.47016680240631104,,,,,,12,129
,,,,,0.9972774386405945,0.9983125329017639,0.9962447881698608,0.4552988111972809,0.9962117671966553,13,139
0.997044026851654,0.9975370168685913,0.9965522885322571,0.9958932399749756,0.4652864933013916,,,,,,13,139
,,,,,0.9975641369819641,0.9982975125312805,0.9968323707580566,0.4529838562011719,0.996610701084137,14,149
0.9972644448280334,0.9976481795310974,0.9968810677528381,0.9962030053138733,0.4623676836490631,,,,,,14,149
,,,,,0.9973812699317932,0.9985673427581787,0.996198832988739,0.45130711793899536,0.9963570833206177,15,159
0.9973613619804382,0.9978899955749512,0.9968336820602417,0.9963506460189819,0.4604644477367401,,,,,,15,159
,,,,,0.9972663521766663,0.9983471035957336,0.9961891770362854,0.44993627071380615,0.9961971044540405,16,169
0.9968440532684326,0.9974527359008789,0.996238112449646,0.995621919631958,0.45889225602149963,,,,,,16,169
,,,,,0.9975594282150269,0.9985044598579407,0.9966168403625488,0.4484306871891022,0.9966046214103699,17,179
0.9972379803657532,0.997607409954071,0.996869683265686,0.996168851852417,0.4564535617828369,,,,,,17,179
,,,,,0.9975244402885437,0.9985886812210083,0.9964630603790283,0.44726240634918213,0.996556282043457,18,189
0.9975575804710388,0.9980694651603699,0.9970464706420898,0.9966064095497131,0.45414498448371887,,,,,,18,189
